Country,value,code
Afghanistan,13465,AFG
Albania,2716,ALB
Algeria,40525,DZA
American Samoa,35,ASM
Andorra,69,AND
Angola,14134,AGO
Antigua and Barbuda,65,ATG
Argentina,33273,ARG
Armenia,3606,ARM
Australia,23830,AUS
Austria,13175,AUT
Azerbaijan,9015,AZE
Bahamas,240,BHS
Bahrain,492,BHR
Bangladesh,107066,BGD
Barbados,345,BRB
Belarus,22187,BLR
Belgium,12982,BEL
Belize,157,BLZ
Benin,5459,BEN
Bermuda,67,BMU
Bhutan,390,BTN
Bolivia (Plurinational State of),4368,BOL
Bosnia and Herzegovina,8674,BIH
Botswana,2135,BWA
Brazil,162711,BRA
Brunei Darussalam,318,BRN
Bulgaria,23741,BGR
Burkina Faso,7184,BFA
Burundi,5160,BDI
Côte d'Ivoire,12507,CIV
Cabo Verde,386,CPV
Cambodia,11185,KHM
Cameroon,12998,CMR
Canada,41315,CAN
Central African Republic,2378,CAF
Chad,6548,TCD
Chile,14875,CHL
China,2772053,CHN
Colombia,25862,COL
Comoros,531,COM
Congo,3397,COG
Cook Islands,19,COK
Costa Rica,2724,CRI
Croatia,9245,HRV
Cuba,11976,CUB
Cyprus,781,CYP
Czechia,19392,CZE
Democratic People's Republic of Korea,43909,PRK
Democratic Republic of the Congo,37504, COD
Denmark,6056,DNK
Djibouti,778,DJI
Dominica,50,DMA
Dominican Republic,7958,DOM
Ecuador,8683,ECU
Egypt,83090,EGY
El Salvador,3006,SLV
Equatorial Guinea,550,GNQ
Eritrea,3074,ERI
Estonia,1888,EST
Eswatini,662,SWZ
Ethiopia,31926,ETH
Fiji,696,FJI
Finland,9251,FIN
France,70227,FRA
Gabon,1209,GAB
Gambia,1156,GMB
Georgia,7503,GEO
Germany,151528,DEU
Ghana,26184,GHA
Greece,19139,GRC
Greenland,56,GRL
Grenada,87,GRD
Guam,157,GUM
Guatemala,5070,GTM
Guinea,6410,GIN
Guinea-Bissau,935,GNB
Guyana,588,GUY
Haiti,6038,HTI
Honduras,3689,HND
Hungary,18242,HUN
Iceland,305,ISL
India,626033,IND
Indonesia,306628,IDN
Iran (Islamic Republic of),62281,IRN
Iraq,32006,IRQ
Ireland,3086,IRL
Israel,5773,ISR
Italy,67741,ITA
Jamaica,2230,JAM
Japan,212866,JPN
Jordan,9791,JOR
Kazakhstan,25493,KAZ
Kenya,22370,KEN
Kiribati,85,KIR
Kuwait,2494,KWT
Kyrgyzstan,5085,KGZ
Lao People's Democratic Republic,4719,LAO
Latvia,5679,LVA
Lebanon,5676,LBN
Lesotho,1311,LSO
Liberia,2131,LBR
Libya,4785,LBY
Lithuania,8869,LTU
Luxembourg,441,LUX
Madagascar,16080,MDG
Malawi,8415,MWI
Malaysia,26669,MYS
Maldives,263,MDV
Mali,7566,MLI
Malta,377,MLT
Marshall Islands,34,MHL
Mauritania,2176,MRT
Mauritius,1384,MUS
Mexico,65181,MEX
Micronesia (Federated States of),72,FSM
Monaco,62,MCO
Mongolia,1.800,MNG
Montenegro,716,MNE
Morocco,40538,MAR
Mozambique,16509,MOZ
Myanmar,45302,MMR
Namibia,1726,NAM
Nauru,7,NRU
Nepal,13138,NPL
Netherlands,19396,NLD
New Zealand,4330,NZL
Nicaragua,2774,NIC
Niger,8182,NER
Nigeria,91564,NGA
Niue,2,NIU
North Macedonia,5666,MKD
Northern Mariana Islands,35,MNP
Norway,7597,NOR
Oman,2338,OMN
Pakistan,106744,PAK
Palau,22,PLW
Palestine,2771,PSE
Panama,2535,PAN
Papua New Guinea,3047,PNG
Paraguay,4038,PRY
Peru,14365,PER
Philippines,68843,PHL
Poland,58610,POL
Portugal,12970,PRT
Puerto Rico,2800,PRI
Qatar,929,QAT
Republic of Korea,66827, KOR
Republic of Moldova,6405,MDA
Romania,49449,ROU
Russian Federation,337709,RUS
Rwanda,6105,RWA
Saint Kitts and Nevis,58,KNA
Saint Lucia,168,LCA
Saint Vincent and the Grenadines,96,VCT
Samoa,137,WSM
San Marino,41,SMR
Sao Tome and Principe,152,STP
Saudi Arabia,19021,SAU
Senegal,8115,SEN
Serbia,25510,SRB
Seychelles,94,SYC
Sierra Leone,4392,SLE
Singapore,4434,SGP
Slovakia,10730,SVK
Slovenia,2737,SVN
Solomon Islands,446,SLB
Somalia,6892,SOM
South Africa,50938,ZAF
South Sudan,3722,SSD
Spain,53333,ESP
Sri Lanka,21902,LKA
Sudan,24581,SDN
Suriname,470,SUR
Sweden,14224,SWE
Switzerland,7835,CHE
Syrian Arab Republic,10526,SYR
Turkey,69523,TUR
Taiwan (Province of China),34128,TWN
Tajikistan,6863,TJK
Thailand,68522,THA
Timor-Leste,811,TLS
Togo,4217,TGO
Tokelau,1,TKL
Tonga,59,TON
Trinidad and Tobago,1329,TTO
Tunisia,11480,TUN
Turkmenistan,5980,TKM
Tuvalu,9,TUV
Uganda,16918,UGA
Ukraine,107459,UKR
United Arab Emirates,7842,ARE
United Kingdom,72319,GBR
United Republic of Tanzania,31679,TZA
United States of America,311587,USA
United States Virgin Islands,100,
Uruguay,3919,URY
Uzbekistan,37228,UZB
Vanuatu,209,VUT
Venezuela (Bolivarian Republic of),16235,VEN
Viet Nam,110010,VNM
Yemen,16560,YEM
Zambia,9002,ZMB
Zimbabwe,7957,ZWE
,,
